mode,komoditas,window,units,epochs,batch_size,test_MAE,test_RMSE,test_MAPE,forecast_MAPE_Okt2025
univariate,Telur Ayam,7,64,150,32,112.66212729357828,334.56692453613493,0.4659234585036058,3.29026090446253
univariate,Telur Ayam,14,32,150,32,110.43670393957342,337.6049620801374,0.4571245597420744,2.497124013439339
univariate,Telur Ayam,14,64,150,32,108.2542672541466,339.4352204566546,0.4477796198166558,2.348120845797121
univariate,Telur Ayam,30,32,150,32,127.6096754807696,304.0170960251784,0.5323145988049114,4.025088548560476
univariate,Telur Ayam,30,64,150,32,232.6176582532055,342.51995026541044,0.9665092650047884,8.467860920015548
univariate,Bawang Merah,7,32,150,32,618.4979572821098,1220.836949103294,2.2728471834536026,14.285427678186831
univariate,Bawang Merah,7,64,150,32,467.0539976347474,1168.5665599892857,1.6844878356003952,7.463083668964668
univariate,Bawang Merah,14,32,150,32,326.30065165876755,1163.1133129392929,1.2046656895353662,3.142252857112656
univariate,Bawang Merah,14,64,150,32,306.6158267920618,1172.9308087897523,1.150714178711629,2.764065006992337
univariate,Bawang Merah,30,32,150,32,344.98314302884614,1206.1800263704238,1.279315193716157,2.990574850639585
univariate,Bawang Merah,30,64,150,32,353.54096554487177,1215.8187402689737,1.3032528349464625,6.05281948126448
univariate,Cabai Merah,7,32,150,32,562.8894558127862,1542.368940650348,2.1747055584799875,12.934261627664986
univariate,Cabai Merah,7,64,150,32,422.4315958285545,1534.2796942734656,1.7226972430256746,2.4946480133719677
univariate,Cabai Merah,14,32,150,32,546.3047198978076,1567.9131615944389,2.1168134313996707,10.11468100492722
univariate,Cabai Merah,14,64,150,32,504.1257914321677,1556.606845578775,1.944886751070397,9.62676684110076
univariate,Cabai Merah,30,32,150,32,353.9783954326923,1430.0043164116028,1.3482202178968965,0.9220219989814752
univariate,Cabai Merah,30,64,150,32,388.5464643429483,1429.457523161164,1.4497418556050012,4.167995744479485
univariate,Cabai Rawit,7,32,150,32,967.9980916714438,2355.88880012686,3.806652823788375,48.01466598851407
univariate,Cabai Rawit,7,64,150,32,889.0338033973613,2322.054046503247,3.442419299814266,44.333544375391085
univariate,Cabai Rawit,14,32,150,32,937.580203087974,2379.7021147910973,3.062680041075087,21.251077089957494
univariate,Cabai Rawit,14,64,150,32,835.8006886848332,2334.221503970848,2.86675832553984,24.589991504372684
univariate,Cabai Rawit,30,32,150,32,835.1284254807692,2399.921995581235,2.672043092149176,14.76471524913008
univariate,Cabai Rawit,30,64,150,32,774.4646133814105,2376.27888598885,2.562763036679005,14.230698923883242
univariate,Minyak Goreng,7,32,150,32,145.063449684633,156.5624654856095,1.0760069657388216,7.362553267039792
univariate,Minyak Goreng,7,64,150,32,46.60814757740825,80.53916878665453,0.3455065424466889,1.995661467437276
univariate,Minyak Goreng,14,32,150,32,85.71283971415876,106.5733913055173,0.6324586416799792,3.0240551928516948
univariate,Minyak Goreng,14,64,150,32,19.951444942239338,70.16429372607764,0.1464133083480904,0.0201998197115229
univariate,Minyak Goreng,30,32,150,32,87.40290965544872,108.1988489231294,0.645555304339132,3.9070872486858055
univariate,Minyak Goreng,30,64,150,32,61.771429286858975,89.15620498873452,0.4559043631386015,2.957757525675172
univariate,Gula Pasir,7,32,150,32,42.5257893133603,52.51325652020178,0.2888850250263405,2.100687387373056
univariate,Gula Pasir,7,64,150,32,80.60819237385341,84.57098575669602,0.5473926854410007,4.6135901004561966
univariate,Gula Pasir,14,32,150,32,101.05262792505938,104.65942843059749,0.6857146499933713,5.082339648060773
univariate,Gula Pasir,14,64,150,32,198.9877860263627,201.808073037538,1.351555158949509,10.24415365749372
univariate,Gula Pasir,30,32,150,32,189.99296875000005,192.9267784118641,1.2908155929288812,9.63160150987889
univariate,Gula Pasir,30,64,150,32,47.26617588141029,56.86794940274519,0.3204417070401171,2.230544122763178
